Replace Part  Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from switch.SchLib
Replace Part  Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part  Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from osci.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from LED.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap_pol.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from RES_ARRAY.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from _REEL.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from mini_USB_connector.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap_pol.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from LED.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from switch.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from diode.SchLib
Replace Part * Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from 3x2_header.SchLib
Replace Part *? Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from cap_pol.SchLib
Replace Part *? Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from RES_ARRAY.SchLib
Replace Part *? Component_1 in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with Component_1 from LED.SchLib
Replace Part Atmega168_20au atmega168 20au in C:\Users\Sumit\Downloads\esteem PCB\project\atmega168a\Sheet1.SchDoc with atmega168 20au from atmega16820au.SchLib
